movie_id,title,year,genre,rating
1,The Shawshank Redemption,1994,Drama,9.3
2,The Godfather,1972,Crime,9.2
3,The Dark Knight,2008,Action,9.0
4,12 Angry Men,1957,Drama,9.0
5,Schindler's List,1993,Biography,8.9
